"Read Details","Прочети повече",module,Magento_AdminNotification
"Mark as Read","Маркирай като прочетено",module,Magento_AdminNotification
"Are you sure?","Сигурни ли сте?",module,Magento_AdminNotification
Remove,Премахни,module,Magento_AdminNotification
"Messages Inbox","Входящи съобщения",module,Magento_AdminNotification
"You have %1 new system messages","Вие имате %1 нови системни съобщения",module,Magento_AdminNotification
"You have %1 new system message","Вие имате %1 ново системно съобщение",module,Magento_AdminNotification
"Incoming Message","Входящо съобщение",module,Magento_AdminNotification
close,затвори,module,Magento_AdminNotification
Notifications,Известия,module,Magento_AdminNotification
"The message has been marked as Read.","Съобщението беше отбелязано като прочетено.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Заради грешка не успяхме да маркираме известието като прочетено.",module,Magento_AdminNotification
"Please select messages.","Моля, изберете съобщения.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Общо %1 запис(а) бяха маркирани като прочетени.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Общо %1 запис(а) бяха премахнати.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Не успяхме да премахнем съобщенията поради грешка.",module,Magento_AdminNotification
"The message has been removed.","Съобщението беше премахнато.",module,Magento_AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Прегледахте и разрешихте всички последни системни съобщения. Моля, опреснете уеб страницата, за да изчистите предупреждението.",module,Magento_AdminNotification
"1 Hour","1 час",module,Magento_AdminNotification
"2 Hours","2 часа",module,Magento_AdminNotification
"6 Hours","6 часа",module,Magento_AdminNotification
"12 Hours","12 часа",module,Magento_AdminNotification
"24 Hours","24 часа",module,Magento_AdminNotification
critical,критично,module,Magento_AdminNotification
major,важно,module,Magento_AdminNotification
minor,незначителни,module,Magento_AdminNotification
notice,известие,module,Magento_AdminNotification
"Wrong message type","Грешен тип съобщение",module,Magento_AdminNotification
"Wrong notification ID specified.","Зададено е грешно ID на съобщение.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не е препоръчителен за използване в продукционна среда, за да се декларира Основния не-сигурен URL. Силно Ви препоръчваме да промените стойността във Вашата Magento <a href=""%1"">конфигурация</a>.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","Един или няколко вида кеш бяха анулирани: %1. ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Моля, отидете на <a href=""%1"">Управление на кеширането</a> и опреснете всички видове кеш.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Ние не успяхме да синхронизираме един или повече медийни файлове. Моля, вижте лог файловете за повече информация.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Синхронизацията на медийните хранилища приключи.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Вашият уеб сървър е настроен неправилно и позволява неразрешен достъп до чувствителни файлове. Моля, обърнете се към вашия хостинг доставчик.",module,Magento_AdminNotification
"System Messages:","Системни съобщения:",module,Magento_AdminNotification
"Critical System Messages","Критични системни съобщения",module,Magento_AdminNotification
"Major System Messages","Основни системни съобщения",module,Magento_AdminNotification
